1 cycle, Latency : 357.932000043 usec 
2 cycle, Latency : 470.186998427 usec 
3 cycle, Latency : 196.962002519 usec 
4 cycle, Latency : 767.57199713 usec 
5 cycle, Latency : 6.16000033915 usec 
6 cycle, Latency : 193.558000319 usec 
7 cycle, Latency : 219.312998524 usec 
8 cycle, Latency : 165.602999914 usec 
9 cycle, Latency : 461.757001176 usec 
10 cycle, Latency : 72.1239994164 usec 
11 cycle, Latency : 3.88000262319 usec 
12 cycle, Latency : 247.86799986 usec 
13 cycle, Latency : 175.392000529 usec 
14 cycle, Latency : 136.858001497 usec 
15 cycle, Latency : 172.220999957 usec 
16 cycle, Latency : 6.32999945083 usec 
17 cycle, Latency : 5.93000004301 usec 
18 cycle, Latency : 5.76999809709 usec 
19 cycle, Latency : 5.75999729335 usec 
20 cycle, Latency : 74.9589999032 usec 
21 cycle, Latency : 448.688002507 usec 
22 cycle, Latency : 3.06999936583 usec 
23 cycle, Latency : 383.645001421 usec 
24 cycle, Latency : 6.22999868938 usec 
25 cycle, Latency : 7.75000080466 usec 
26 cycle, Latency : 48.1200004288 usec 
27 cycle, Latency : 344.734002283 usec 
28 cycle, Latency : 5.93000004301 usec 
29 cycle, Latency : 8.02000067779 usec 
30 cycle, Latency : 3.87999898521 usec 
31 cycle, Latency : 3.32000126946 usec 
32 cycle, Latency : 454.328001069 usec 
33 cycle, Latency : 324.02099896 usec 
34 cycle, Latency : 312.120999297 usec 
35 cycle, Latency : 1022.47500035 usec 
36 cycle, Latency : 280.732998363 usec 
37 cycle, Latency : 292.223998258 usec 
38 cycle, Latency : 282.803001028 usec 
39 cycle, Latency : 780.73899931 usec 
40 cycle, Latency : 356.021002517 usec 
41 cycle, Latency : 352.696999471 usec 
42 cycle, Latency : 248.259002547 usec 
43 cycle, Latency : 190.738999663 usec 
44 cycle, Latency : 705.06100019 usec 
45 cycle, Latency : 6.14000236965 usec 
46 cycle, Latency : 207.146000321 usec 
47 cycle, Latency : 217.829998292 usec 
48 cycle, Latency : 165.130000823 usec 
49 cycle, Latency : 588.228002016 usec 
50 cycle, Latency : 61.1079994997 usec 
51 cycle, Latency : 3.24999928125 usec 
52 cycle, Latency : 248.576998274 usec 
53 cycle, Latency : 175.043998752 usec 
54 cycle, Latency : 130.598997202 usec 
55 cycle, Latency : 193.733998458 usec 
56 cycle, Latency : 6.7000000854 usec 
57 cycle, Latency : 5.96999961999 usec 
58 cycle, Latency : 6.08000118518 usec 
59 cycle, Latency : 7.99999907031 usec 
60 cycle, Latency : 65.4799987387 usec 
61 cycle, Latency : 3.2799980545 usec 
62 cycle, Latency : 538.474003406 usec 
63 cycle, Latency : 3.32999843522 usec 
64 cycle, Latency : 8.20000059321 usec 
65 cycle, Latency : 3.87000181945 usec 
66 cycle, Latency : 100.479999674 usec 
67 cycle, Latency : 337.222998496 usec 
68 cycle, Latency : 276.867998764 usec 
69 cycle, Latency : 453.880998975 usec 
70 cycle, Latency : 3.60000194632 usec 
71 cycle, Latency : 3.32999843522 usec 
72 cycle, Latency : 440.095001977 usec 
73 cycle, Latency : 319.15100044 usec 
74 cycle, Latency : 309.414997901 usec 
75 cycle, Latency : 927.019998926 usec 
76 cycle, Latency : 7.79000038165 usec 
77 cycle, Latency : 6.41999940854 usec 
78 cycle, Latency : 6.06999674346 usec 
79 cycle, Latency : 477.746998513 usec 
80 cycle, Latency : 3.47999957739 usec 
81 cycle, Latency : 356.298998668 usec 
82 cycle, Latency : 350.638001692 usec 
83 cycle, Latency : 245.609997364 usec 
84 cycle, Latency : 186.451001355 usec 
85 cycle, Latency : 706.98700074 usec 
86 cycle, Latency : 6.45000181976 usec 
87 cycle, Latency : 6.96999995853 usec 
88 cycle, Latency : 6.58999852021 usec 
89 cycle, Latency : 6.89000080456 usec 
90 cycle, Latency : 444.610999693 usec 
91 cycle, Latency : 284.54600033 usec 
92 cycle, Latency : 268.415999017 usec 
93 cycle, Latency : 61.2219992036 usec 
94 cycle, Latency : 8.35999890114 usec 
95 cycle, Latency : 8.72999953572 usec 
96 cycle, Latency : 355.632000719 usec 
97 cycle, Latency : 5.84499866818 usec 
98 cycle, Latency : 6.86999919708 usec 
99 cycle, Latency : 8.68000279297 usec 
100 cycle, Latency : 6.6299980972 usec 

Average Latency : 202.629109881 usec 
Max Latency: 1022.47500035 usecs at timestamp: 20010.0895107 
Min Latency: 3.06999936583 usecs at timestamp: 20010.0753005 
