1 cycle, Latency : 179.368002136 usec 
2 cycle, Latency : 193.919000594 usec 
3 cycle, Latency : 386.716001231 usec 
4 cycle, Latency : 187.435998669 usec 
5 cycle, Latency : 155.243000336 usec 
6 cycle, Latency : 188.079000509 usec 
7 cycle, Latency : 195.5680018 usec 
8 cycle, Latency : 189.842998225 usec 
9 cycle, Latency : 183.240998012 usec 
10 cycle, Latency : 410.657998145 usec 
11 cycle, Latency : 24.9800032179 usec 
12 cycle, Latency : 136.531001772 usec 
13 cycle, Latency : 74.4290009607 usec 
14 cycle, Latency : 151.547999849 usec 
15 cycle, Latency : 151.905001985 usec 
16 cycle, Latency : 212.374998227 usec 
17 cycle, Latency : 141.245000123 usec 
18 cycle, Latency : 134.242000058 usec 
19 cycle, Latency : 6.79999720887 usec 
20 cycle, Latency : 5.12000042363 usec 
21 cycle, Latency : 107.23000014 usec 
22 cycle, Latency : 2.83999906969 usec 
23 cycle, Latency : 2.9100010579 usec 
24 cycle, Latency : 2.84999987343 usec 
25 cycle, Latency : 5.71000055061 usec 
26 cycle, Latency : 3.55999873136 usec 
27 cycle, Latency : 3.09999813908 usec 
28 cycle, Latency : 290.790998406 usec 
29 cycle, Latency : 5.54000143893 usec 
30 cycle, Latency : 5.46999945072 usec 
31 cycle, Latency : 3.24000211549 usec 
32 cycle, Latency : 122.116998682 usec 
33 cycle, Latency : 3.11999974656 usec 
34 cycle, Latency : 299.540002743 usec 
35 cycle, Latency : 127.238999994 usec 
36 cycle, Latency : 483.422001707 usec 
37 cycle, Latency : 295.342000754 usec 
38 cycle, Latency : 288.259001536 usec 
39 cycle, Latency : 118.641997688 usec 
40 cycle, Latency : 133.661000291 usec 
41 cycle, Latency : 411.594999605 usec 
42 cycle, Latency : 109.832999442 usec 
43 cycle, Latency : 112.12499885 usec 
44 cycle, Latency : 107.137002487 usec 
45 cycle, Latency : 176.924000698 usec 
46 cycle, Latency : 207.125001907 usec 
47 cycle, Latency : 548.839998373 usec 
48 cycle, Latency : 98.1230004982 usec 
49 cycle, Latency : 174.308999703 usec 
50 cycle, Latency : 195.060001715 usec 
51 cycle, Latency : 185.258999409 usec 
52 cycle, Latency : 447.794998763 usec 
53 cycle, Latency : 4.52999665868 usec 
54 cycle, Latency : 141.66300025 usec 
55 cycle, Latency : 613.551997958 usec 
56 cycle, Latency : 4.5599990699 usec 
57 cycle, Latency : 100.711000414 usec 
58 cycle, Latency : 209.451998671 usec 
59 cycle, Latency : 6.81000165059 usec 
60 cycle, Latency : 5.8200021158 usec 
61 cycle, Latency : 5.78000253881 usec 
62 cycle, Latency : 3.44999716617 usec 
63 cycle, Latency : 47.680001444 usec 
64 cycle, Latency : 2.96999860439 usec 
65 cycle, Latency : 2.97999940813 usec 
66 cycle, Latency : 2.96000143862 usec 
67 cycle, Latency : 6.01000283496 usec 
68 cycle, Latency : 3.44000000041 usec 
69 cycle, Latency : 3.2799980545 usec 
70 cycle, Latency : 290.67399737 usec 
71 cycle, Latency : 5.73000215809 usec 
72 cycle, Latency : 5.8200021158 usec 
73 cycle, Latency : 3.59000114258 usec 
74 cycle, Latency : 122.014000226 usec 
75 cycle, Latency : 3.04999775835 usec 
76 cycle, Latency : 237.193002249 usec 
77 cycle, Latency : 236.105999647 usec 
78 cycle, Latency : 410.45800026 usec 
79 cycle, Latency : 232.801001403 usec 
80 cycle, Latency : 420.410000515 usec 
81 cycle, Latency : 219.424000534 usec 
82 cycle, Latency : 214.635998418 usec 
83 cycle, Latency : 529.796001501 usec 
84 cycle, Latency : 112.565998279 usec 
85 cycle, Latency : 110.883000161 usec 
86 cycle, Latency : 196.629000129 usec 
87 cycle, Latency : 218.555000174 usec 
88 cycle, Latency : 209.951998841 usec 
89 cycle, Latency : 471.622999612 usec 
90 cycle, Latency : 220.649999392 usec 
91 cycle, Latency : 239.679000515 usec 
92 cycle, Latency : 6.14999953541 usec 
93 cycle, Latency : 3.7899990275 usec 
94 cycle, Latency : 520.154000696 usec 
95 cycle, Latency : 3.45999796991 usec 
96 cycle, Latency : 318.913997035 usec 
97 cycle, Latency : 137.995000841 usec 
98 cycle, Latency : 8.03999864729 usec 
99 cycle, Latency : 3.86000101571 usec 
100 cycle, Latency : 506.688000314 usec 

Average Latency : 157.748920028 usec 
Max Latency: 613.551997958 usecs at timestamp: 19993.5865386 
Min Latency: 2.83999906969 usecs at timestamp: 19993.5528567 
