1 cycle, Latency : 3.1499985198 usec 
2 cycle, Latency : 100.401000964 usec 
3 cycle, Latency : 247.30199948 usec 
4 cycle, Latency : 181.867999345 usec 
5 cycle, Latency : 101.748999441 usec 
6 cycle, Latency : 173.962002009 usec 
7 cycle, Latency : 169.517999893 usec 
8 cycle, Latency : 7.3400005931 usec 
9 cycle, Latency : 5.93000004301 usec 
10 cycle, Latency : 120.410000818 usec 
11 cycle, Latency : 101.831999928 usec 
12 cycle, Latency : 6.2099970819 usec 
13 cycle, Latency : 3.03999695461 usec 
14 cycle, Latency : 80.033998529 usec 
15 cycle, Latency : 146.76399951 usec 
16 cycle, Latency : 141.155996971 usec 
17 cycle, Latency : 243.050999416 usec 
18 cycle, Latency : 5.8200021158 usec 
19 cycle, Latency : 309.733000904 usec 
20 cycle, Latency : 360.304999049 usec 
21 cycle, Latency : 3.40000042343 usec 
22 cycle, Latency : 2.93000266538 usec 
23 cycle, Latency : 5.8599980548 usec 
24 cycle, Latency : 7.31999898562 usec 
25 cycle, Latency : 5.54000143893 usec 
26 cycle, Latency : 56.2099994568 usec 
27 cycle, Latency : 5.86000169278 usec 
28 cycle, Latency : 5.45000148122 usec 
29 cycle, Latency : 5.36000152351 usec 
30 cycle, Latency : 640.906000626 usec 
31 cycle, Latency : 144.607001857 usec 
32 cycle, Latency : 141.591997817 usec 
33 cycle, Latency : 256.191997323 usec 
34 cycle, Latency : 5.62999775866 usec 
35 cycle, Latency : 379.229997634 usec 
36 cycle, Latency : 227.207001444 usec 
37 cycle, Latency : 232.913000218 usec 
38 cycle, Latency : 227.408996579 usec 
39 cycle, Latency : 214.927000343 usec 
40 cycle, Latency : 316.451001709 usec 
41 cycle, Latency : 110.479002615 usec 
42 cycle, Latency : 106.572999357 usec 
43 cycle, Latency : 103.713999124 usec 
44 cycle, Latency : 193.985000806 usec 
45 cycle, Latency : 183.935000678 usec 
46 cycle, Latency : 178.661997779 usec 
47 cycle, Latency : 170.628001797 usec 
48 cycle, Latency : 5.96000245423 usec 
49 cycle, Latency : 6.7000000854 usec 
50 cycle, Latency : 5.82999928156 usec 
51 cycle, Latency : 562.299999729 usec 
52 cycle, Latency : 142.595999932 usec 
53 cycle, Latency : 79.5250016381 usec 
54 cycle, Latency : 6.30000067758 usec 
55 cycle, Latency : 6.15999670117 usec 
56 cycle, Latency : 5.80999767408 usec 
57 cycle, Latency : 3.45000080415 usec 
58 cycle, Latency : 440.024999989 usec 
59 cycle, Latency : 6.58999852021 usec 
60 cycle, Latency : 6.0400016082 usec 
61 cycle, Latency : 5.86000169278 usec 
62 cycle, Latency : 43.1799999205 usec 
63 cycle, Latency : 3.1300005503 usec 
64 cycle, Latency : 3.15999932354 usec 
65 cycle, Latency : 6.61000012769 usec 
66 cycle, Latency : 7.02000033925 usec 
67 cycle, Latency : 3.69000190403 usec 
68 cycle, Latency : 7.30700048734 usec 
69 cycle, Latency : 116.512001114 usec 
70 cycle, Latency : 298.179998936 usec 
71 cycle, Latency : 6.10999995843 usec 
72 cycle, Latency : 5.71000055061 usec 
73 cycle, Latency : 623.42000092 usec 
74 cycle, Latency : 257.585001236 usec 
75 cycle, Latency : 249.835997238 usec 
76 cycle, Latency : 1110.84200034 usec 
77 cycle, Latency : 4.09999847761 usec 
78 cycle, Latency : 8.06000025477 usec 
79 cycle, Latency : 196.969998797 usec 
80 cycle, Latency : 399.489999836 usec 
81 cycle, Latency : 108.315001853 usec 
82 cycle, Latency : 380.328001484 usec 
83 cycle, Latency : 103.154001408 usec 
84 cycle, Latency : 184.765998711 usec 
85 cycle, Latency : 178.721998964 usec 
86 cycle, Latency : 453.679000202 usec 
87 cycle, Latency : 6.68999928166 usec 
88 cycle, Latency : 6.34000025457 usec 
89 cycle, Latency : 6.10999995843 usec 
90 cycle, Latency : 6.08999835094 usec 
91 cycle, Latency : 424.232999649 usec 
92 cycle, Latency : 3.79000266548 usec 
93 cycle, Latency : 191.726001503 usec 
94 cycle, Latency : 7.63000207371 usec 
95 cycle, Latency : 6.7000000854 usec 
96 cycle, Latency : 6.45000181976 usec 
97 cycle, Latency : 466.590001452 usec 
98 cycle, Latency : 7.25999780116 usec 
99 cycle, Latency : 6.80000084685 usec 
100 cycle, Latency : 6.4999985625 usec 

Average Latency : 136.384760008 usec 
Max Latency: 1110.84200034 usecs at timestamp: 19972.9862391 
Min Latency: 2.93000266538 usecs at timestamp: 19972.9289788 
